cv_scheme,feature_set,model,auc_mean,auc_std
8fold_x10,panel_log_plus_diversity,logistic_l1,0.6535,0.17719410261066817
5fold_x10,panel_log_plus_diversity,logistic_l1,0.651875,0.12651580928879996
3fold_x10,panel_log_plus_diversity,logistic_l1,0.6101577909270218,0.09000395832426412
5fold_x10,diversity_only,logistic_l1,0.6096875,0.13074642980307338
8fold_x10,diversity_only,logistic_l1,0.6025,0.18945645937787398
3fold_x10,diversity_only,logistic_l1,0.5990842490842492,0.09189834033835544
8fold_x10,panel_presence,logistic_l1,0.595,0.16960247639701492
5fold_x10,panel_presence,logistic_l1,0.59484375,0.10706272347466461
8fold_x10,panel_log,logistic_l1,0.5944999999999999,0.16598117363122844
8fold_x10,panel_presence_plus_diversity,logistic_l1,0.5840000000000001,0.1678809101714665
5fold_x10,panel_log,logistic_l1,0.5828125,0.11818326935844177
3fold_x10,panel_presence,logistic_l1,0.5826429980276134,0.09487764536293392
5fold_x10,panel_presence_plus_diversity,logistic_l1,0.579375,0.10424767683262778
3fold_x10,panel_presence_plus_diversity,logistic_l1,0.5785714285714286,0.07701129992055214
3fold_x10,panel_log,logistic_l1,0.5631304592843055,0.09742442084510682
3fold_x10,fuso_only,logistic_l1,0.47198506621583547,0.09460351614803687
5fold_x10,fuso_only,logistic_l1,0.4584375,0.1233231273930401
8fold_x10,fuso_only,logistic_l1,0.4305,0.1501324415308031
